title,price,price_label,mileage,first_registration,transmission,fuel_type,power_kW,power_PS,consumption,co2_emissions,vehicle_type,age_months,age_years
"Citroen Berlingo Selection - Benzin, Klima, Multispace",3400,Sehr guter Preis,208000,2016-02-01,Schaltgetriebe,Benzin,72,98,6.4,152.0,minivan,111,9
Citroen Berlingo Kombi Selection,3480,Sehr guter Preis,324199,2014-04-01,Schaltgetriebe,Benzin,72,98,7.1,168.0,minivan,133,11
Citroen Berlingo Kombi Silver Selection,3990,Sehr guter Preis,208894,2012-02-01,Schaltgetriebe,Diesel,68,92,5.3,140.0,minivan,159,13
Citroen Berlingo Selection Multispace15/TÜV neu/AHK+Klima+Tempom,3999,Sehr guter Preis,282000,2014-08-01,Schaltgetriebe,Diesel,68,92,4.9,130.0,minivan,129,10
Citroen Berlingo 1.6 HDi | AUTOMATIK | KLIMA | 5-TÜRER,4400,Guter Preis,248880,2012-01-01,Automatik,Diesel,68,92,5.0,133.0,minivan,160,13
Citroen Berlingo 1.6 VTi 120 Selection,4499,Guter Preis,157241,2013-05-01,Schaltgetriebe,Benzin,88,120,,,minivan,144,12
Citroen Berlingo 1.6 HDI Selection 2HAND/EURO5/KLIMA/PDC,4500,Sehr guter Preis,194000,2012-09-01,Schaltgetriebe,Diesel,68,92,4.9,130.0,minivan,152,12
Citroen Berlingo Kombi Diesel  5-Türer e-HDi 90 FAP EGS6 Multispace,4500,Sehr guter Preis,181000,2012-02-01,Automatik,Diesel,68,92,,,minivan,159,13
Citroen Berlingo Selection,4650,Guter Preis,195000,2012-09-01,Schaltgetriebe,Diesel,84,114,5.3,140.0,minivan,152,12
Citroen Berlingo e-HDi 90 FAP EGS6 Multispace Exclusive,4650,Guter Preis,260000,2013-06-01,Automatik,Diesel,68,92,4.8,,minivan,143,11
Citroen Berlingo Kombi Multispace 1.6 /Klimaanlage/EURO5,4990,Guter Preis,135000,2012-01-01,Schaltgetriebe,Benzin,88,120,7.5,173.0,minivan,160,13
Citroen Berlingo 1.6 Hdi Selection 114PS PKW Klima Neu.Kd,4999,Guter Preis,241626,2012-10-01,Schaltgetriebe,Diesel,84,114,5.3,139.0,minivan,151,12
Citroen Berlingo Multispace 1.6 HDI Exclusive,5200,Erhöhter Preis,232000,2013-06-01,Schaltgetriebe,Diesel,84,114,4.9,129.0,minivan,143,11
Citroen Berlingo Multispace HDi 90 FAP Tendance,5400,Fairer Preis,206000,2013-06-01,Schaltgetriebe,Diesel,68,92,5.2,135.0,minivan,143,11
Citroen Berlingo Kombi/Klima/Temp/8-fachBereifung,5499,Fairer Preis,187133,2015-10-01,Schaltgetriebe,Benzin,72,98,6.4,152.0,minivan,115,9
Citroen Berlingo Berlingo Multispace VTi 120 Tendance,5500,Guter Preis,175000,2013-05-01,Schaltgetriebe,Benzin,88,120,7.3,,minivan,144,12
Citroen Berlingo Kombi Selection l PANORAMA l 2.HAND l,5690,Guter Preis,223100,2012-09-01,Schaltgetriebe,Diesel,84,114,5.3,139.0,minivan,152,12
Citroen Berlingo Selection,5699,Sehr guter Preis,180000,2013-11-01,Schaltgetriebe,Diesel,68,92,4.9,130.0,minivan,138,11
Citroen Berlingo Kombi 1.6 VTi Klimaanlage PDC Tempo,5699,Fairer Preis,99290,2012-08-01,Schaltgetriebe,Benzin,88,120,,,minivan,153,12
Citroen Berlingo XTR,5890,Fairer Preis,214000,2013-01-01,Schaltgetriebe,Diesel,84,114,5.3,140.0,minivan,148,12
Citroen Berlingo Multispace Attraction,5899,Erhöhter Preis,187442,2013-03-01,Schaltgetriebe,Diesel,55,75,5.2,138.0,minivan,146,12
Citroen Berlingo Kombi Selection/KLIMA/PDC/,5900,Sehr guter Preis,130521,2014-09-01,Schaltgetriebe,Diesel,68,92,4.9,130.0,minivan,128,10
Citroen Berlingo Selection,5950,Fairer Preis,212530,2013-05-01,Schaltgetriebe,Diesel,84,114,5.3,140.0,minivan,144,12
Citroen Berlingo Berlingo Multispace HDi 115 FAP Selection,5990,Fairer Preis,209000,2015-03-01,Schaltgetriebe,Diesel,84,114,4.9,,minivan,122,10
Citroen Berlingo 1.6 Multispace XTR*SHZ*,5990,Sehr guter Preis,140000,2014-09-01,Schaltgetriebe,Benzin,88,120,7.3,173.0,minivan,128,10
Citroen Berlingo Berlingo Multispace 1.6 VTi 95*Klima*Schiebetür,6250,Fairer Preis,133052,2013-03-01,Schaltgetriebe,Benzin,72,98,7.2,164.0,minivan,146,12
Citroen Berlingo Kombi Selection,6295,Sehr guter Preis,153000,2018-03-01,Schaltgetriebe,Benzin,72,98,6.4,152.0,minivan,86,7
Citroen Berlingo Kombi Selection,6350,Fairer Preis,215000,2015-06-01,Schaltgetriebe,Diesel,73,99,4.1,109.0,minivan,119,9
Citroen Berlingo 1.6 e-HDI Selection / Klimaautomatik / LED,6400,Sehr guter Preis,176515,2013-03-01,Schaltgetriebe,Diesel,68,92,4.9,130.0,minivan,146,12
Citroen Berlingo Kombi Diesel 5-Türer Multispace HDi 115,6400,Guter Preis,187000,2014-08-01,Schaltgetriebe,Diesel,84,114,4.9,,minivan,129,10
Citroen Berlingo Selection,6500,Guter Preis,157700,2017-05-01,Schaltgetriebe,Diesel,73,99,4.3,113.0,minivan,96,8
Citroen Berlingo Berlingo Multispace e-HDi 90 FAP EGS6 Tendance,6500,Fairer Preis,191000,2014-08-01,Automatik,Diesel,68,92,4.4,,minivan,129,10
"Citroen Berlingo Kombi Selection  1,6 diesel",6500,Guter Preis,195000,2014-08-01,Schaltgetriebe,Diesel,84,114,5.3,140.0,minivan,129,10
Citroen Berlingo Kombi Selection*TÜV NEU*GARANTIE*,6750,Fairer Preis,164250,2013-11-01,Schaltgetriebe,Benzin,72,98,7.1,168.0,minivan,138,11
"Citroen Berlingo Selection ""SITZH-KLIMA-PDC-TÜV NEU""",6790,Sehr guter Preis,185000,2012-11-01,Automatik,Diesel,68,92,,,minivan,150,12
Citroen Berlingo Kombi Live TÜV NEU,6950,Guter Preis,185000,2018-02-01,Schaltgetriebe,Benzin,72,98,6.4,152.0,minivan,87,7
Citroen Berlingo Multispace BlueHDI Selection*PDC*TMP,6990,Sehr guter Preis,133500,2015-06-01,Schaltgetriebe,Diesel,73,99,4.1,109.0,minivan,119,9
Citroen Berlingo Multispace*PDC*Klima*SR/WR*HUneu*,6990,Fairer Preis,141500,2012-05-01,Schaltgetriebe,Benzin,88,120,7.5,173.0,minivan,156,13
Citroen Berlingo Multispace 1.2 THP Alu/Klima/PTS/Tempomat,6990,Sehr guter Preis,140500,2017-11-01,Schaltgetriebe,Benzin,81,110,5.1,119.0,minivan,90,7
Citroen Berlingo Selection 1.6l*AUTOMATIK*KLIMA*PDC*,6999,Fairer Preis,206930,2014-06-01,Automatik,Diesel,68,92,5.0,133.0,minivan,131,10
"Citroen Berlingo Kombi Selection,Mutispace,AHK,Gepflegt,",6999,Guter Preis,190000,2016-02-01,Schaltgetriebe,Diesel,73,99,4.3,113.0,minivan,111,9
Citroen Berlingo 1.6 HDi 90 FAP Multispace,6999,Guter Preis,152354,2012-08-01,Schaltgetriebe,Diesel,68,92,5.3,139.0,minivan,153,12
Citroen Berlingo Kombi Selection TÜV NEU*1.HAND*AHK,7200,Sehr guter Preis,116000,2014-05-01,Schaltgetriebe,Diesel,68,92,4.9,130.0,minivan,132,11
Citroen Berlingo 1.6 Selection Multispace 1.Hand*HU/AU NEU*PDC*Temp,7350,Fairer Preis,141000,2012-12-01,Schaltgetriebe,Benzin,72,98,7.1,168.0,minivan,149,12
"Citroen Berlingo Kombi Selection,Multispace",7390,Fairer Preis,133000,2012-08-01,Schaltgetriebe,Benzin,72,98,7.1,168.0,minivan,153,12
Citroen Berlingo Schaltung*Rollstuhl*Rampe*PDC*Grau*§25a,7400,Erhöhter Preis,358000,2018-02-01,Schaltgetriebe,Diesel,88,120,4.3,,minivan,87,7
Citroen Berlingo 1.6 BlueHDi 120 Shine Klimaaut. AHK SHZ,7485,Sehr guter Preis,163500,2015-11-01,Schaltgetriebe,Diesel,88,120,,,minivan,114,9
Citroen Berlingo Kombi Selection,7490,Sehr guter Preis,189800,2017-02-01,Schaltgetriebe,Diesel,88,120,4.4,117.0,minivan,99,8
Citroen Berlingo Kombi Selection,7500,Sehr guter Preis,128500,2018-08-01,Schaltgetriebe,Benzin,88,120,6.5,154.0,minivan,81,6
Citroen Berlingo Selection,7500,Sehr guter Preis,148611,2017-05-01,Schaltgetriebe,Diesel,73,99,4.1,109.0,minivan,96,8
Citroen Berlingo Kombi Selection*KLIMA*PDC*TEMPOMAT*,7500,Fairer Preis,189860,2014-05-01,Schaltgetriebe,Diesel,84,114,5.3,140.0,minivan,132,11
Citroen Berlingo 1.6 HDi Klima Tempom. Sitzheiz. 73KW E6,7700,Fairer Preis,149476,2017-07-01,Schaltgetriebe,Diesel,73,99,,131.0,minivan,94,7
Citroen Berlingo BERLINGO SELECTION 1.6Hdi 5SITZER KLIMA 109Co E6,7795,Guter Preis,177500,2018-03-01,Schaltgetriebe,Diesel,73,99,4.1,109.0,minivan,86,7
Citroen Berlingo Kombi Shine Navi MyWay Sitzheiz. EXPORT,7810,Fairer Preis,134618,2016-11-01,Schaltgetriebe,Benzin,81,110,5.1,119.0,minivan,102,8
Citroen Berlingo Berlingo+Multispace+VTi+95+Selection,7950,Keine Angabe,179000,2014-10-01,Schaltgetriebe,Benzin,72,98,6.7,,minivan,127,10
Citroen Berlingo Multispace HDi 75 Attraction,7980,Keine Angabe,112118,2012-12-01,Schaltgetriebe,Diesel,55,75,,,minivan,149,12
Citroen Berlingo Kombi Shine 1.2/AHK/PDC/DAB/8-FACH/TEMP,7980,Sehr guter Preis,164000,2018-02-01,Schaltgetriebe,Benzin,81,110,5.1,119.0,minivan,87,7
Citroen Berlingo 1.6 Blue HDI Selection/ EURO6/ TEMPOMAT,7990,Fairer Preis,132015,2015-11-01,Schaltgetriebe,Diesel,73,99,4.3,113.0,minivan,114,9
Citroen Berlingo 1.6 Selection PDC+AHK+SCHIEBX2+EURO5,7998,Guter Preis,125000,2013-08-01,Schaltgetriebe,Diesel,68,92,4.9,130.0,minivan,141,11
Citroen Berlingo Multispace BlueHDi 100 S,7999,Sehr guter Preis,149999,2015-11-01,Automatik,Diesel,73,99,4.2,109.0,minivan,114,9
Citroen Berlingo Selection 1.6 HDI FAP [KLIMA/CD/PDC],7999,Keine Angabe,151100,2015-01-01,Schaltgetriebe,Diesel,84,114,,,minivan,124,10
Citroen Berlingo Selection BlueHDI100,7999,Sehr guter Preis,115500,2016-06-01,Schaltgetriebe,Diesel,73,99,4.1,109.0,minivan,107,8
Citroen Berlingo Multispace HDi 115 FAP XTR,8000,Fairer Preis,143000,2012-08-01,Schaltgetriebe,Diesel,84,114,5.3,139.0,minivan,153,12
"Citroen Berlingo XTR AHK, Sitzheizung, Klimaautom.",8200,Keine Angabe,159000,2013-08-01,Schaltgetriebe,Benzin,88,120,7.3,173.0,minivan,141,11
Citroen Berlingo Kombi 1.6 VTi 120 Silver Selection,8294,Fairer Preis,157359,2012-03-01,Schaltgetriebe,Benzin,88,120,,,minivan,158,13
Citroen Berlingo 1.6HDI MULTISPACE/AHK/KLIMAAUTOM/PDC,8450,Fairer Preis,166362,2016-03-01,Schaltgetriebe,Diesel,73,99,4.3,114.0,minivan,110,9
Citroen Berlingo Kasten Doppelkabine L2 5-Sitzer/Klima,8490,Keine Angabe,249000,2018-08-01,Schaltgetriebe,Diesel,73,99,4.3,114.0,minivan,81,6
Citroen Berlingo Shine |PDC|KLIMA|TEMPOMAT|DAB|,8490,Guter Preis,178000,2018-02-01,Schaltgetriebe,Diesel,88,120,4.4,117.0,minivan,87,7
Citroen Berlingo Kombi Selection,8490,Fairer Preis,161000,2014-10-01,Schaltgetriebe,Diesel,68,92,4.9,130.0,minivan,127,10
Citroen Berlingo ATTRACTION MULTISPACE 2.HAND+TÜV NEU,8498,Guter Preis,73000,2014-06-01,Schaltgetriebe,Benzin,72,98,7.1,168.0,minivan,131,10
Citroen Berlingo Multispace VTi 95 Selection 5 Sitze AHK,8500,Fairer Preis,49000,2012-12-01,Schaltgetriebe,Benzin,72,98,6.7,,minivan,149,12
Citroen Berlingo Kombi Selection*KLIMA*PDC*TEMPOMAT*,8600,Fairer Preis,120000,2017-07-01,Schaltgetriebe,Diesel,73,99,4.1,109.0,minivan,94,7
Citroen Berlingo Multispace 1.6 hdi Selection (collection) 115cv,8600,Fairer Preis,138000,2013-07-01,Schaltgetriebe,Diesel,84,114,5.3,134.0,minivan,142,11
Citroen Berlingo XTR/ Gepfl. Zustand/ Inspektion Neu,8600,Guter Preis,127930,2013-02-01,Schaltgetriebe,Benzin,88,120,7.3,173.0,minivan,147,12
Citroen Berlingo Kombi Selection Navi,8600,Guter Preis,162000,2017-10-01,Schaltgetriebe,Diesel,88,120,4.4,117.0,minivan,91,7
Citroen Berlingo Kombi XTR*NAVI*KLIMA*EURO6*,8699,Guter Preis,139000,2016-06-01,Schaltgetriebe,Diesel,73,99,4.3,114.0,minivan,107,8
"Citroen Berlingo Selection ""PANO-NAVI-SITZH-CAM-ALU""",8900,Sehr guter Preis,146000,2015-11-01,Schaltgetriebe,Diesel,88,120,,,minivan,114,9
"Citroen Berlingo 1,6Blue-HDI  Kombi XTR",8900,Fairer Preis,194900,2017-03-01,Schaltgetriebe,Diesel,88,120,,,minivan,98,8
Citroen Berlingo Multispace BlueHDi 100 S,8900,Guter Preis,160000,2017-11-01,Automatik,Diesel,73,99,4.2,109.0,minivan,90,7
Citroen Berlingo BlueHDi 100 S&S  Multispace Shine,8950,Guter Preis,145000,2017-11-01,Schaltgetriebe,Diesel,73,99,4.2,,minivan,90,7
Citroen Berlingo 1.6 e-HDi Selection Autom. Klima,8950,Fairer Preis,146660,2014-12-01,Automatik,Diesel,68,92,5.0,133.0,minivan,125,10
Citroen Berlingo Berlingo Multispace PureTech 110 SHINE,8950,Guter Preis,85930,2016-07-01,Schaltgetriebe,Benzin,81,110,5.1,119.0,minivan,106,8
Citroen Berlingo Kombi Selection,8977,Sehr guter Preis,94812,2016-05-01,Schaltgetriebe,Benzin,81,110,5.1,119.0,minivan,108,9
Citroen Berlingo Kombi Selection eHDi 90 FAP PDC Tempomat,8990,Sehr guter Preis,85113,2013-02-01,Schaltgetriebe,Diesel,68,92,,,minivan,147,12
"Citroen Berlingo Selection,Klima,Pano,Allwetter,SHZ,PDC",8990,Guter Preis,100500,2012-12-01,Schaltgetriebe,Benzin,88,120,7.5,173.0,minivan,149,12
