title,price,price_label,mileage,first_registration,transmission,fuel_type,power,consumption,cO2_emissions
Citroen Berlingo Live Pack M,16878.0,Guter Preis,54750.0,09/2022,Schaltgetriebe,Diesel,75 kW (102 PS),- (l/100 km),- (g/km)
Citroen Berlingo 1.5 Blue-HDi Shine M,15000.0,Sehr guter Preis,102039.0,05/2019,Schaltgetriebe,Diesel,96 kW (131 PS),- (l/100 km),- (g/km)
Citroen Berlingo Citroen Berlingo BlueHDi 130 S&S FEEL M FEEL,15100.0,Sehr guter Preis,135000.0,12/2018,Schaltgetriebe,Diesel,96 kW (131 PS),"4,3 l/100 km (komb.)",115 g/km (komb.)
"Citroen Berlingo BlueHDi 130 M, SHINE, Panoramadach, Schiebetür",15250.0,Sehr guter Preis,97000.0,12/2018,Schaltgetriebe,Diesel,96 kW (131 PS),- (l/100 km),- (g/km)
Citroen Berlingo 1.5 HDI 130 *Shine M* Navi Pano HUD 1Hd,15450.0,Sehr guter Preis,112000.0,07/2019,Schaltgetriebe,Diesel,96 kW (131 PS),- (l/100 km),- (g/km)
"Citroen Berlingo 1.5D FEEL ""M"" 5-SITZER NAVI/LED/SHZ/DAB",15450.0,Sehr guter Preis,93400.0,12/2020,Schaltgetriebe,Diesel,75 kW (102 PS),"4,1 l/100 km (komb.)",107 g/km (komb.)
Citroen Berlingo Multispace BlueHDi 100 S&S ETG6 SHINE,15505.0,Keine Angabe,134500.0,12/2016,Automatik,Diesel,73 kW (99 PS),"4,2 l/100 km (komb.)",109 g/km (komb.)
Citroen Berlingo Multispace 1.6 HDi,15800.0,Fairer Preis,30900.0,12/2017,Automatik,Diesel,73 kW (99 PS),"4,2 l/100 km (komb.)",109 g/km (komb.)
Citroen Berlingo Feel M HDi 100,15900.0,Fairer Preis,100035.0,07/2018,Schaltgetriebe,Diesel,75 kW (102 PS),"4,2 l/100 km (komb.)",111 g/km (komb.)
"Citroen Berlingo Feel M PureTech 110 *Sitzheizung, Navi uvm.*",15970.0,Hoher Preis,112150.0,12/2018,Schaltgetriebe,Benzin,81 kW (110 PS),"7,1 l/100 km (komb.)",161 g/km (komb.)
Citroen Berlingo Feel XL XTR,15980.0,Hoher Preis,192700.0,10/2019,Automatik,Diesel,96 kW (131 PS),"4,4 l/100 km (komb.)",117 g/km (komb.)
Citroen Berlingo M BlueHDi 100 LIVE,15985.0,Erhöhter Preis,101888.0,03/2019,Schaltgetriebe,Diesel,75 kW (102 PS),"4,1 l/100 km (komb.)",107 g/km (komb.)
Citroen Berlingo Selection 2.HD AUTOMATIK KLIMA PDC,15989.0,Hoher Preis,67000.0,04/2016,Automatik,Diesel,73 kW (99 PS),"4,2 l/100 km (komb.)",109 g/km (komb.)
Citroen Berlingo Live M Klima USB Spurass. Tempomat,15990.0,Guter Preis,73883.0,06/2020,Schaltgetriebe,Diesel,75 kW (102 PS),"4,0 l/100 km (komb.)",108 g/km (komb.)
Citroen Berlingo 1.5 Feel M PDC SHZ KAMERA NAVI W-LAN,15990.0,Guter Preis,119697.0,03/2019,Schaltgetriebe,Diesel,96 kW (131 PS),- (l/100 km),- (g/km)
Citroen Berlingo Berlingo Kombi Tendance*BEHINDERTENGERECHT*,15990.0,Keine Angabe,123380.0,12/2013,Schaltgetriebe,Diesel,68 kW (92 PS),"5,3 l/100 km (komb.)",140 g/km (komb.)
Citroen Berlingo Multispace BlueHDi 120 S&S 90 Jahre,15990.0,Erhöhter Preis,106210.0,08/2018,Schaltgetriebe,Diesel,88 kW (120 PS),"4,3 l/100 km (komb.)",113 g/km (komb.)
Citroen Berlingo Multispace VTi 95 SELECTION,15999.0,Keine Angabe,52500.0,09/2018,Schaltgetriebe,Benzin,72 kW (98 PS),"6,4 l/100 km (komb.)",148 g/km (komb.)
Citroen Berlingo Shine 1.5 BHDi 130 °Navi°HUD°SHZ°ACC°,17870.0,Sehr guter Preis,88900.0,05/2020,Schaltgetriebe,Diesel,96 kW (131 PS),- (l/100 km),- (g/km)
Citroen Berlingo HDi 130 SHINE Navi/HUD/Pano/SHZ/Kamera,15999.0,Guter Preis,138000.0,06/2019,Schaltgetriebe,Diesel,96 kW (131 PS),"4,3 l/100 km (komb.)",- (g/km)
Citroen Berlingo 1.5 Blue-HDi Feel  AUTOMATIC/NAVI/KLIMA,15999.0,Erhöhter Preis,136303.0,07/2019,Automatik,Diesel,96 kW (131 PS),- (l/100 km),- (g/km)
Citroen Berlingo Berlingo Kombi Diesel 5-Türer M FEEL,15999.0,Guter Preis,91500.0,10/2018,Schaltgetriebe,Diesel,96 kW (131 PS),- (l/100 km),- (g/km)
Citroen Berlingo Shine XL,16000.0,Keine Angabe,150000.0,10/2019,- Getriebe,Diesel,96 kW (131 PS),"4,4 l/100 km (komb.)",117 g/km (komb.)
Citroen Berlingo Kasten Control XL,16350.0,Erhöhter Preis,35000.0,08/2020,Schaltgetriebe,Benzin,81 kW (110 PS),"5,3 l/100 km (komb.)",121 g/km (komb.)
"Citroen Berlingo Live M, Navi,SH,Carplay, 8fach bereift!",16400.0,Fairer Preis,68090.0,05/2020,Schaltgetriebe,Benzin,81 kW (110 PS),"5,3 l/100 km (komb.)",123 g/km (komb.)
Citroen Berlingo Shine Navi/SHZ/PDC/Kam/Tempomat,16480.0,Fairer Preis,87500.0,03/2018,Schaltgetriebe,Benzin,81 kW (110 PS),- (l/100 km),- (g/km)
Citroen Berlingo 1.2 THP Live M Scheckheft Sitzheizung Tempomat USB,16490.0,Keine Angabe,72700.0,03/2019,Schaltgetriebe,Benzin,81 kW (110 PS),"5,7 l/100 km (komb.)",130 g/km (komb.)
Citroen Berlingo XL BlueHDi 130 FEEL,16499.0,Sehr guter Preis,103850.0,01/2019,Schaltgetriebe,Diesel,96 kW (131 PS),"6,2 l/100 km (komb.)",162 g/km (komb.)
Citroen Berlingo Feel XL PureTech 130 S&S EAT8 AHK,17980.0,Guter Preis,110800.0,10/2020,Automatik,Benzin,96 kW (131 PS),- (l/100 km),- (g/km)
Citroen Berlingo M PureTech 110 LIVE PACK,16590.0,Keine Angabe,12310.0,07/2021,Schaltgetriebe,Benzin,81 kW (110 PS),"5,3 l/100 km (komb.)",121 g/km (komb.)
Citroen Berlingo Feel M 5 Sitz/2x Sch-Tür/Klima/Navi/PDC,16600.0,Sehr guter Preis,59000.0,12/2021,Schaltgetriebe,Benzin,81 kW (110 PS),"5,6 l/100 km (komb.)",145 g/km (komb.)
Citroen Berlingo Feel XL *7-SITZ*NAVI,16650.0,Erhöhter Preis,104523.0,08/2020,Schaltgetriebe,Benzin,81 kW (110 PS),"5,3 l/100 km (komb.)",122 g/km (komb.)
Citroen Berlingo Berlingo+M+PureTech+110+FEEL,16800.0,Guter Preis,65000.0,06/2019,Schaltgetriebe,Benzin,81 kW (110 PS),"5,5 l/100 km (komb.)",159 g/km (komb.)
Citroen Berlingo Feel M PT110 Klima Einparkhilfe,16870.0,Keine Angabe,42200.0,12/2021,Schaltgetriebe,Benzin,81 kW (110 PS),- (l/100 km),- (g/km)
Citroen Berlingo Live Pack M,16878.0,Guter Preis,54750.0,09/2022,Schaltgetriebe,Diesel,75 kW (102 PS),- (l/100 km),- (g/km)
Citroen Berlingo Feel 1.2 PureTech EU6d-T M PT 110 DAB SHZ 7 Sitze.,16890.0,Fairer Preis,96846.0,02/2019,Schaltgetriebe,Benzin,81 kW (110 PS),- (l/100 km),- (g/km)
Citroen Berlingo Shine M*PANO*HUD*SITZHZG*,16900.0,Fairer Preis,73000.0,01/2019,Schaltgetriebe,Benzin,81 kW (110 PS),"5,7 l/100 km (komb.)",130 g/km (komb.)
Citroen Berlingo Shine M 1.5 BlueHDi AHK STANDHEIZUNG PDC KAMERA SH,17990.0,Guter Preis,131990.0,01/2019,Automatik,Diesel,96 kW (131 PS),- (l/100 km),- (g/km)
Citroen Berlingo Shine XL,18100.0,Guter Preis,117090.0,10/2019,Automatik,Benzin,96 kW (131 PS),"5,6 l/100 km (komb.)",162 g/km (komb.)
"Citroen Berlingo Feel M, 7 Sitzer, AHK, Klima, Sitzheizung",16900.0,Keine Angabe,108000.0,04/2019,Schaltgetriebe,Benzin,81 kW (110 PS),- (l/100 km),- (g/km)
Citroen Berlingo 1.2 XTR *Panorama*°360°Kamera*Navi*EU6*,16950.0,Fairer Preis,76718.0,09/2018,Schaltgetriebe,Benzin,81 kW (110 PS),"5,7 l/100 km (komb.)",130 g/km (komb.)
Citroen Berlingo M PureTech 110 FEEL,16950.0,Erhöhter Preis,83350.0,07/2019,Schaltgetriebe,Benzin,81 kW (110 PS),"7,5 l/100 km (komb.)",170 g/km (komb.)
Citroen Berlingo 1.2PureTech 110 Live Pack M Klima,16980.0,Sehr guter Preis,30791.0,01/2023,Schaltgetriebe,Benzin,81 kW (110 PS),- (l/100 km),- (g/km)
Citroen Berlingo Live M,16990.0,Keine Angabe,15500.0,05/2020,Schaltgetriebe,Benzin,81 kW (110 PS),"5,4 l/100 km (komb.)",123 g/km (komb.)
Citroen Berlingo M PureTech 110 FEEL,16990.0,Sehr guter Preis,34285.0,01/2019,Schaltgetriebe,Benzin,81 kW (110 PS),"5,5 l/100 km (komb.)",125 g/km (komb.)
Citroen Berlingo 1.5 BlueHDi 100 FAP Live M AHK SpurH,16990.0,Fairer Preis,67866.0,09/2018,Schaltgetriebe,Diesel,75 kW (102 PS),- (l/100 km),- (g/km)
