title,price,price_label,mileage,first_registration,transmission,fuel_type,power,consumption,cO2_emissions
Citroen Berlingo Kombi Attraction,2000.0,Sehr guter Preis,200000.0,12/2012,Schaltgetriebe,Benzin,72 kW (98 PS),"7,1 l/100 km (komb.)",168 g/km (komb.)
Citroen Berlingo Niveau Kasten L2 1.6 HDi *Klima/3.Sitze,3490.0,Fairer Preis,499998.0,07/2015,Schaltgetriebe,Diesel,66 kW (90 PS),"6,0 l/100 km (komb.)",157 g/km (komb.)
Citroen Berlingo Niveau B L2,3700.0,Keine Angabe,203000.0,06/2012,- Getriebe,Diesel,66 kW (90 PS),"6,0 l/100 km (komb.)",157 g/km (komb.)
Citroen Berlingo Pharma Niveau B L2,3890.0,Sehr guter Preis,241936.0,01/2016,Schaltgetriebe,Diesel,66 kW (90 PS),"5,5 l/100 km (komb.)",146 g/km (komb.)
Citroen Berlingo L1 1.6 BlueHDi 75 FAP Business,3900.0,Guter Preis,264700.0,03/2018,Schaltgetriebe,Diesel,55 kW (75 PS),"4,3 l/100 km (komb.)",112 g/km (komb.)
Citroen Berlingo Kasten Niveau B L1.,3990.0,Sehr guter Preis,148000.0,02/2014,Schaltgetriebe,Diesel,66 kW (90 PS),"6,0 l/100 km (komb.)",157 g/km (komb.)
Citroen Berlingo Berlingo L1 1.6 BlueHDi 75 FAP Profi,4000.0,Keine Angabe,169000.0,04/2016,Schaltgetriebe,Diesel,55 kW (75 PS),"4,3 l/100 km (komb.)",- (g/km)
Citroen Berlingo 1.6 HDi L1H1 Klima Tempom. 55KW Euro 5,4200.0,Fairer Preis,239061.0,05/2012,Schaltgetriebe,Diesel,55 kW (75 PS),"5,3 l/100 km (komb.)",139 g/km (komb.)
Citroen Berlingo Kasten Niveau B L1,4500.0,Fairer Preis,173000.0,06/2015,Schaltgetriebe,Diesel,55 kW (75 PS),"5,2 l/100 km (komb.)",138 g/km (komb.)
Citroen Berlingo Berlingo+L2+1.6+HDi+90+FAP+Niveau+B,4500.0,Sehr guter Preis,155000.0,04/2013,Schaltgetriebe,Diesel,66 kW (90 PS),"5,5 l/100 km (komb.)",- (g/km)
Citroen Berlingo Berlingo+1.6+HDi+90+FAP+CoolTech,4760.0,Sehr guter Preis,95000.0,07/2014,Schaltgetriebe,Diesel,66 kW (90 PS),- (l/100 km),- (g/km)
Citroen Berlingo Kasten L1 Proline,4790.0,Fairer Preis,189902.0,04/2015,Schaltgetriebe,Diesel,66 kW (90 PS),"5,3 l/100 km (komb.)",140 g/km (komb.)
Citroen Berlingo Berlingo 1.6 HDi L2 1.6 BlueHDi Proline,5000.0,Guter Preis,297250.0,06/2016,Automatik,Diesel,73 kW (99 PS),"4,1 l/100 km (komb.)",- (g/km)
Citroen Berlingo 1.6 Kasten Profi L1 TÜV 1.Hand,5499.0,Erhöhter Preis,166543.0,08/2015,Schaltgetriebe,Benzin,72 kW (98 PS),"6,5 l/100 km (komb.)",154 g/km (komb.)
Citroen Berlingo Kasten Business L1,5500.0,Guter Preis,197000.0,12/2015,Schaltgetriebe,Diesel,55 kW (75 PS),- (l/100 km),- (g/km)
Citroen Berlingo Niveau B L1,5599.0,Keine Angabe,101000.0,12/2012,- Getriebe,Diesel,55 kW (75 PS),"5,2 l/100 km (komb.)",138 g/km (komb.)
